"filename", "language", "HTML", "Java", "CSS", "JavaScript", "SQL", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\MVTTT\Server\MVTTT_Schema.sql", "SQL", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Administrator\Desktop\MVTTT\Server\src\main\java\com\unstoppapoenguyen\mvttt\CredSet.java", "Java", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\MVTTT\Server\src\main\java\com\unstoppapoenguyen\mvttt\DataController.java", "Java", 0, 52, 0, 0, 0, 0, 4, 56
"c:\Users\Administrator\Desktop\MVTTT\Server\src\main\java\com\unstoppapoenguyen\mvttt\Match.java", "Java", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Administrator\Desktop\MVTTT\Server\src\main\java\com\unstoppapoenguyen\mvttt\Player.java", "Java", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Administrator\Desktop\MVTTT\Server\src\main\java\com\unstoppapoenguyen\mvttt\WebController.java", "Java", 0, 16, 0, 0, 0, 0, 0, 16
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\CredSet.class", "Java", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\DataController.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\Match.class", "Java", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\Player.class", "Java", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\MVTTT\Server\target\MVTTT\WEB-INF\classes\com\unstoppapoenguyen\mvttt\WebController.class", "Java", 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\CredSet.class", "Java", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\DataController.class", "Java", 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\Match.class", "Java", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\Player.class", "Java", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Administrator\Desktop\MVTTT\Server\target\classes\com\unstoppapoenguyen\mvttt\WebController.class", "Java", 0, 14, 0, 0, 0, 0, 0, 14
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\index.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\mvttt_web.css", "CSS", 0, 0, 83, 0, 0, 0, 21, 104
"c:\Users\Administrator\Desktop\MVTTT\UI\web_mobile\src\mvttt_web.js", "JavaScript", 0, 0, 0, 114, 0, 0, 10, 124
"Total", "-", 21, 134, 83, 114, 6, 0, 35, 393